,STATUS,cOPN,cCON,cEXT,cAGR,cNEU
1414,Casino Night was awesome.  I WON A SNUGGIE!!!!!!!  lmao,1,0,0,0,1
1415,Going to the premier of Harry Potter with me awesome cousins in the city!  Yay!  sry daniel.....,1,0,0,0,1
1416,BEACH BALL TONIGHT!!!!!!!   XD,1,0,0,0,1
1417,"has a paper due at 5 pm, yet here I am on fb.  typical",1,0,0,0,1
1418,"had a great night out with friends, ate awesome food, and watched stand up comedians on youtube.  fun...and now i'm tired.  g'night everybody.",1,0,0,0,1
1419,justs wants to sleep but have to study and write 2 very large paragraphs... *yawns*,1,0,0,0,1
1420,loling at new moon spoofs.  XD,1,0,0,0,1
1421,still writing that essay....,1,0,0,0,1
1422,stupid camera giving me hell!  agh!,1,0,0,0,1
1423,"Went apple picking during hte weekend with family.  But now, I must return to reality and work my ass off on Columbus Day.  Yay...",1,0,0,0,1
1424,"trying to do math hw but is distracted with other things like the shiny button on my sweater....  Shiny, i like shiny!",1,0,0,0,1
1425,having fun in the am.  i also have a midterm on physics in the next 7 hours.  good night peoples and wish me luck!,1,0,0,0,1
1426,FIRE DRILLLL!!!,1,0,0,0,1
1427,NYU Portaits: Voices of a People was AMAZING!!!  XD,1,0,0,0,1
1428,goin' out tonight!  XD,1,0,0,0,1
1429,"never going home during the weekday ever again!  waking up at 6:30am is a memory i'd rather keep in the past, thank you.  *yawn*",1,0,0,0,1
1430,raining sucks!  stupid wetness......,1,0,0,0,1
1431,"5 page essay... Ready, set, go!!!!!!",1,0,0,0,1
1432,"stupid laptop making ""whir"" sounds.  maybe hitting will make it better?  *laptop dies*  ....damn....",1,0,0,0,1
1433,gotz new shoes.  hooray!  ^o^,1,0,0,0,1
1434,There has to be a better way to solve this else I die of fustration and disintegrate in my own rage.,1,0,0,0,1
1435,trecked through the wetness only to discover that class was canceled......,1,0,0,0,1
1436,Paper or Plastic,1,0,0,0,1
1437,moop!,1,0,0,0,1
1438,"had it all set up for the weekend.  now it's all ruined.  hopefully, a trip to the met, visit to a spa, and quality time in li will smooth out the wrinkles in this disatrous turn of events.  meh...",1,0,0,0,1
1439,"FREEEDDDOOMMM!! Well, that is for now...",1,0,0,0,1
1440,"finished one essay.  Another four-paged essay to go.  But first, a 3 hour nap. :3",1,0,0,0,1
1441,joy and freedom in the love of God!,1,0,0,0,1
1442,didn't sleep 'til 6 am.  can't feel ma toes...,1,0,0,0,1
1443,the first snow in nyc!!!!!!!!!!  afijeljaldsfjasd  XD,1,0,0,0,1
1444,"To the dickwads who sat in the table next to me: Yeah, insulting me in Korean behind my back thinking that I wouldn't understand...  Go back into the recess of the fucking cess pool you fucking crawled out of, you dumb fucks!  Love, *PROPNAME*",1,0,0,0,1
1445,"in kimmel jamming, drinking free coffee, and writing 3 essays before 10 am tomorrow!  gonna die from brain overload.",1,0,0,0,1
1446,didn't sleep....tired.....probably gonna walk into traffic half-asleep. and the best part...i'm not done with that friggin' essay yet!,1,0,0,0,1
1447,"watched Hot Fuzz, then proceeded to watch Comedy Central, and finally, chatted with a drunk dude and his friend while watching Reno 911!",1,0,0,0,1
1448,"out of my mind with fustration and fatigue.  Oh, the life of a college student!",1,0,0,0,1
1449,waiting for vacation time to roll around.....,1,0,0,0,1
1450,i think this week of college just might kill me,1,0,0,0,1
1451,"nat. science final in a couple of hours....  more study or sleep?  argh, stupid test!!!",1,0,0,0,1
1452,more partying at sandra's sweet 16!!!!!!!!!!!!  can't wait!,1,0,0,0,1
1453,is wondering if she should even be here and if nyu was just a bad idea;  a very expensive bad idea....,1,0,0,0,1
1454,to the gallery!!!!!,1,0,0,0,1
1455,booga booga booga!  lol love courage!,1,0,0,0,1
1456,just chillin',1,0,0,0,1
1457,is going shopping for college stuff!  WOOO!!!,1,0,0,0,1
1458,hoping those leaving a safe trip and a lurvly Thanksgiving break.  Only a couple more hours to go!!!  XD,1,0,0,0,1
1459,trying to write final papers in library... not working!  argh!!!,1,0,0,0,1
1460,HEADING ON HOME!!!!  YEA BITCHES!!!  LET THE WINTER GAMES BEGIN!  (after i finish my conwest final papers....  ugh!),1,0,0,0,1
1461,ugh....tired...hw....essay....reading...blurghhl,1,0,0,0,1
1462,retreat in a couple of hours... nervous.  meh!,1,0,0,0,1
1463,hauling stuff out and moving into nyu in several hours!!!!,1,0,0,0,1
1464,"Snow, snow!  I love it so!!!!  XD  But getting to class is gonna be interesting....",1,0,0,0,1
1465,"""If at first you don't succeed, find out if the loser gets anything.""    -*PROPNAME*",1,0,0,0,1
1466,it's so cold outside!!!  hot cocoa anyone?  :D,1,0,0,0,1
1467,rofl how i'm using physics regents table to do college physics hw.  oh the irony.,1,0,0,0,1
1468,so tired....................................it might snow tonight.,1,0,0,0,1
1469,"had a great time with friends, met some new peoples, and experienced one hell of a night!!!!",1,0,0,0,1
1470,randomness reigns supreme!,1,0,0,0,1
1471,"the snow, the snow!  ahh the snow!!  oh if only if i were a few years younger...  i would spend the day with cups of hot chocolate and pummel my baby brother into the snow!",1,0,0,0,1
1472,"lovin' ""Neighbors Know My Name""- *PROPNAME* and lovin the thumpin of my heart and feet pounding on the dance floor!  been too long baby!",1,0,0,0,1
1473,SCHOOL'S CLOSED BIATCH!!!!!!!!!!!!!!!!!!!!!!!!!!!,1,0,0,0,1
1474,opus 10 no. 1: 10 years in the making ... i'm so happy to finally be able  to play these arpeggios up to speed without feeling like my arm will fall off after the first phrase.,1,1,0,0,1
1475,is done .. first real summer break in years.,1,1,0,0,1
1476,detox water fast,1,1,0,0,1
1477,on vacation 2 weeks to learn statistics. haha,1,1,0,0,1
1478,watched a whole bunch of queer movies on youtube. love it,1,1,0,0,1
1479,"i really miss driers, trader joe's, and whole foods.",1,1,0,0,1
1480,"day 1 trip planning, bought a very nice travel guide",1,1,0,0,1
1481,back to the polonaise fantasie. 4 pages done. at this miserable rate the piece will be ready in a decade.,1,1,0,0,1
1482,to Frisco for a day.,1,1,0,0,1
1483,marinating a pound of bulgogi. We would need a grill but it is pretty good anyway. Want to try some?,1,1,0,0,1
1484,dying for first vietnamese food in years. i could dream of pho tonight,1,1,0,0,1
1485,bye bye San Jose,1,1,0,0,1
1486,sad to leave San Jose -(,1,1,0,0,1
1487,hooked on PBS,1,1,0,0,1
1488,really like PBS's The Ascent of Money.,1,1,0,0,1
1489,"first day PhD applications, forgot how challenging this is.",1,1,0,0,1
1490,GRE sorrows,1,1,0,0,1
1491,New Woody Allen is genius,1,1,0,0,1
1492,"when your thesis is on saddle-point model selection and matlab can't find any saddle points, you're in deep ...",1,1,0,0,1
1493,high on Scarlatti and Chopin.,1,1,0,0,1
1494,Done with 5 apps!,1,1,0,0,1
1495,"bulgogi turned out tasty after all. congrats to all those with working ovens who roasted a beautiful bird, it's fun hearing your success stories. merry christmas!!",1,1,0,0,1
1496,German bureaucracy ... annoying as all hell even from this side of the Atlantic.,1,1,0,0,1
1497,"saw *PROPNAME* WTC 1, can't wait for the Partitas in March.",1,1,0,0,1
1498,Looking forward to Beethoven G Major Concerto tonight!,1,1,0,0,1
1499,"""we never forget the truth, we only get better at lying to ourselves""",1,1,1,0,0
1500,is going into a morphine-induced slumber,1,1,1,0,0
1501,is bargin it up north!,1,1,1,0,0
1502,"broke her forearm, dislocated and sheared her elbow, fractured 3 ribs and lacerated her spleen jumping off a ledge into the san lorenzo river on friday. She'll be on the 2nd floor in dominican hospital rm 2210 until tuesday if anyone wants to keep her com",1,1,1,0,0
1503,is so excited to finally get out of the hospital tomorrow!,1,1,1,0,0
1504,"finally has some legit painkillers, hopefully my metal arm stops hurting soon! for now, i think i'm gonna watch the entire series of Entourage since I still have two days of bed rest. *PROPNAME* can help me back to health anyday ;)",1,1,1,0,0
1505,"so i dont have to keep typing this evrytime sum1 asks... slipped during a cliff jump, didnt clear the rocks below. sheared the ball joint in my left elbow, dislocated it (compound fracture), compound fracture in my forearm, 3 fractured ribs and lacerated",1,1,1,0,0
1506,is getting much better :D,1,1,1,0,0
1507,has a new perspective. Its crazy how close I came to dying on friday.... I'm very happy to be out of the hospital and at my parent's house again. Come visit me! I'm on bed rest 'till Sunday and then only low activity for the next 3 months,1,1,1,0,0
1508,woke up in a lot of pain and then hit the morphine button like 6 times... pain's not totally gone but at least its subsided a little,1,1,1,0,0
1509,is bored in santa cruz...,1,1,1,0,0
1510,s spleen is healing nicely but she still can't feel her fingertips on her left hand. she also wishes the nurses' assistants weren't so incompetent... one helped me to the toilet this morning then left and never came back to help me back into bed (which i,1,1,1,0,0
1511,just got the most amazing rainbow tutu and leggings!,1,1,1,0,0
1512,is so sick of this hospital and not being able to do things on her own,1,1,1,0,0
1513,now takes the storke exit into IV instead of the los carneros exit... weird,1,1,1,0,0
1514,is in isla vista without a phone,1,1,1,0,0
1515,is gettin ready for Reggae!,1,1,1,0,0
1516,mmm... strawberry rhubarb cobbler... mmmm,1,1,1,0,0
1517,the heart is a wilderness with beauty and emptiness that you endure 'cause you never can be sure,1,1,1,0,0
1518,"Commercial narrator: ""we're all searching for it. Most of us don't even know what we're looking for. But we all feel it, that unexplainable emptiness that can only be filled by one thing."" Then they pan to the stars and the answer appears. Scientology. ri",1,1,1,0,0
1519,"That is a problem. That is not trusting the nowness properly that what is the actual experience now possesses a lot of powerful things. It is so powerful that we can't face it. Therefore, we have to borrow from the past and invite the future all the time. Maybe that's why we seek religion. Maybe that's why we march in the street. Maybe that's why we complain to society. Maybe that's why we vote for the presidents.",1,1,1,0,0
1520,can't sleep because the dog  keeps barking at something in the yard and its kinda freakin me out,1,1,1,0,0
1521,rediscovered an old journal and some old poetry of hers and is spending the day pondering who she is and who her real friends are                            ....... bed rest has given me A LOT of time to think lol *<:~),1,1,1,0,0
1522,I find it interesting that I cannot reply to comments on *PROPNAME*'s page without entering my phone number. A neighbor of mine received threatening calls from a conservative group after voicing her opinion at a rally. How they got her number I do not know but I wonder if the same would have happened to me if I entered my number... Scary stuff,1,1,1,0,0
1523,"""we have to continually be jumping off cliffs and developing our wings on the way down"" -*PROPNAME*.",1,1,1,0,0
1524,which mustache?!?!,1,1,1,0,0
1525,is missing Isla Vista hardcore tonight :( I need an adventure...,1,1,1,0,0
1526,is getting everything to work out despite the drastic change in plans,1,1,1,0,0
1527,is going to the city tonight even though she's broken! ooo and my cousin drew a pretty pink cupcake on my cast :D,1,1,1,0,0
1528,got burned by steak grease and has blisters on her leg :(   I'm just tryin to ignore it but I think the chef owes me a serious sesh (*cough* *PROPNAME* *cough*cough*) hahaha,1,1,1,0,0
1529,"I think we're walking step in step, But you don't speak your mind. I think I see it in your eyes, but maybe its just a reflection of mine.",1,1,1,0,0
1530,"Is packing up old baggage, mailing it away to Timbuktu and starting a new day :)",1,1,1,0,0
1531,"""see, when you forgive your imperfections, and you've auctioned all your clothes, and you look to see your true reflection, you will be the one who loves you the most"" -*PROPNAME* ""The One Who Loves You the Most""",1,1,1,0,0
1532,is getting on her longboard for the first time in 3 months :D !!!!! Now it's time to go around Isla Vista collecting flowers for my new apartment :),1,1,1,0,0
1533,is stoked for West Beach today!!! Too bad its not sunnier... didn't someone tell Santa Barbara its still summer?,1,1,1,0,0
1534,both of the towns I live in have been on fire an lot recently :(,1,1,1,0,0
1535,is regaining her colors and fitting into her skin again :D,1,1,1,0,0
1536,is repairing her very broken math skills one equation at a time,1,1,1,0,0
1537,"""all we have is hope and love, so don't you worry child, so don't you worry 'bout a thing in the night, for those can lift us up so we can rise, so we can rise above the madness"" -*PROPNAME*",1,1,1,0,0
1538,is headin downtown for some live music on this lovely sunday afternoon :),1,1,1,0,0
1539,"is so stoked to see *PROPNAME*, *PROPNAME* and *PROPNAME* at the Hollywood Bowl with her lady tonight!!!",1,1,1,0,0
1540,is preparing for five days of awesomeness. Hurray for Geo18!,1,1,1,0,0
1541,"is cuddleing with *PROPNAME*, the cutest puppy EVER!",1,1,1,0,0
1542,is living on cloud nine... aka in the Montecito Hills. the house I moved into is insanely beautiful and best of all... its free!!!,1,1,1,0,0
1543,has a LONG day in the field tomorrow and then is escaping Isla Vista for the weekend :D,1,1,1,0,0
1544,LOVES her Field Fridays and BEER HOUR! Thanks *PROPNAME* for being such a great Beer Czar,1,1,1,0,0
1545,is spending her day off watching Dexter instead of being productive like she should be...,1,1,1,0,0
1546,is thankful for her quite patio to watch the meteor shower from tonight :) anyone want to join me?,1,1,1,0,0
1547,"""all we have is hope and love, so don't you worry child, so don't you worry 'bout a thing in the night, for those can life us up so we can rise, so we can rise above the madness"" -*PROPNAME*",1,1,1,0,0
1548,is anyone home in this ghost town?,1,1,1,0,0
1549,is about to go for a thankgiving hike with her family :),1,1,1,0,0
1550,"is thankful for a warm fire, good wine and her ladies :D",1,1,1,0,0
1551,"downtown or international party? hmmm decisions decisions... one thing's for sure, no more studying for tonight :D",1,1,1,0,0
1552,can't believe she's leaving the lodge in the morning after two years.... its the end of an era :( *PROPNAME* I love you forever!!!,1,1,1,0,0
1553,how can I be expected to work when there is so much fun puddle jumping to be done?,1,1,1,0,0
1554,"A simple smile can change a day, an understanding look can say ""I know exactly how you feel."" But we have learned to build our walls, so very strong and very tall, for fear of what the world might steal",1,1,1,0,0
1555,had a really stressful day at work but got a $45 tip :) Thank you Microsoft,1,1,1,0,0
1556,just finished her last quarter at UCSB. Crazy.,1,1,1,0,0
1557,is very happy with her grades and even happier that she didn't spend more time than needed on school this quarter!,1,1,1,0,0
1558,"come with me, come with me, we'll travel to infinity",1,1,1,0,0
1559,"folk and tribal arts festival at the museum of natural history, gonna go find some gifts and watch some bellydancing :)",1,1,1,0,0
1560,is exhausted but so ready to see her ladies tomorrow!,1,1,1,0,0
1561,just got back from the reel rock film show and officially views *PROPNAME* as the biggest badass EVER,1,1,1,0,0
1562,is applying for the Peace Corps//Master's International in Civil Engineering!,1,1,1,0,0
1563,you don't need no reason nor a three peice suit to argue the truth,1,1,1,0,0
1564,"is overwhelmed by data... and this is supposed to be a quick, easy lab? I barely even know where to start... my lack of experience is kicking my ass :(",1,1,1,0,0
1565,"finally got her computer back in shape! Open office, utorrent and skype; now I can actually make use of my computer again!",1,1,1,0,0
1566,roast + wine + family + south park = a very happy *PROPNAME*,1,1,1,0,0
1567,will not be going on the fall 2009 semester at sea voyage. Doctor's orders. I have never been so devastated in my entire life...,1,1,1,0,0
1568,snow snow snow SNOW!!!!!! HERE I COME!!!!,1,1,1,0,0
1569,got distracted in Borders for over three hours today... why did they have to put the rhyming dictionary next to the science section? All I wanted was the dictionary but I ended up reading about things from string theory to the genetic destiny of the y-chromosome (apparently men are on the slow but certain path towards extinction...) for most of the afternoon,1,1,1,0,0
1570,finished her stats paper and bought her ticket for BRETT DENNEN on the 12th! The world is wonderful again :)  Now I am off to work for the next 8 hours... not so wonderful but oh well,1,1,1,0,0
1571,is waging a vendetta against UCSB parking services!,1,1,1,0,0
1572,Does anyone have malarone (anti-malaria med) that they don't need?,1,1,1,0,0
1573,is overwHelmed with excitement,1,1,1,0,0
1574,is headin to the doctor yet again but then Reggae in the Redwoods tonight at the Brookdale Lodge :D,1,1,1,0,0
1575,"is gettin' on the road, feelin' fine. I'll be back in Isla Vista in no time!",1,1,1,0,0
1576,had a great time at the Devil Makes Three new years and now its time to pack for Semester at Sea!!!!,1,1,1,0,0
1577,"Is in Hawaii, yay!",1,1,1,0,0
1578,is in Hawaii yay! No more phone after this... email at arsherrin@semesteratsea.net,1,1,1,0,0
1579,"received early acceptance to Michigan Tech in Civil Engineering!!!!!!!!!!!!  Now its time for my peace corps application! Get ready world, 'cause here I come!",1,1,1,0,0
1580,"is in San Diego, boarding the MV explorer tomorrow morning! If you want to follow my voyage, I'm keeping a blog at    http:////sherrinthelove.blogspot.com//",1,1,1,0,0
1581,"I am once, I am twice, I am the whole, I'm just a slice.",1,1,1,0,0
1582,"can someone explain to me how keith can misspell ""beginner"" and ""hear"" but can then use asphyxia correctly in a sentence?",1,0,0,0,1
1583,it's 4:30 and i'm still awake.  i hate myself sometimes,1,0,0,0,1
1584,if i can write a screenplay in two days i can submit it to a festival.  fat chance of that,1,0,0,0,1
1585,"um, mother nature . . . i love thunderstorms as much as the next person, but this is the 3rd one today.  could you get your shit together?  thank you.",1,0,0,0,1
1586,i am now replacing my highly original baseball status with one about women's tennis: jelena jankovic thinks she's the number one tennis player?  i'd love to try whatever she's on,1,0,0,0,1
1587,"""If your friend got assassined, how would you respond"" . . . probably with: that doesn't even make sense",1,0,0,0,1
1588,a little glass vial. a little glass vial? a little glass vial.,1,0,0,0,1
1589,nothing like falling asleep for an hour then waking up and being wide awake. stupid body,1,0,0,0,1
1590,is still awake at 3:30.  oh me,1,0,0,0,1
1591,"just for the record, kim just made me log into her account to harvest her farmville raspberries",1,0,0,0,1
1592,editing blows,1,0,0,0,1
1593,was over baseball april 1.  is it ncaa basketball time yet?,1,0,0,0,1
1594,"*PROPNAME* said, """"I was just the vessel. It wasn't *PROPNAME*'s sperm. Just like I stick the sperm up my horse, this is what they did to me. I was his thoroughbred."" And this is the part where my brain vomits...",1,0,0,0,1
1595,going to your cousin's wedding?  awesome.  going to legend's bar afterwards?  not.,1,0,0,0,1
1596,"finished Pride & Prejudice & Zombies instead of watching Ghost in the Shell.  I'm classy.  Also, a giant geek. :)",1,0,0,0,1
1597,heard mariah carey's new song on the ride home tonight.  she needs to give it up already,1,0,0,0,1
1598,"justine henin, stay the hell away from tennis.  no one wants you back.  you sir, were a bitch",1,0,0,0,1
1599,suck on that nadia petrova,1,0,0,0,1
1600,"If cavemen and astronauts got into a fight, who would win?",1,0,0,0,1
1601,"so, i locked the doors on my truck at kim's, because it's a main road and we'd be busy editing the movie.  however, when i left, i noticed that i left all my windows open.  probably not the safest of security systems",1,0,0,0,1
1602,"If cavemen and astronauts got into a fight, who would win?",1,0,0,0,1
1603,who called me today and left a voicemail?,1,0,0,0,1
1604,mom: i'm sitting on main street like a hooker,1,0,0,0,1
1605,"merry christmas eve y'all.  i shall celebrate by working at b&n making drinks for annoying last minute shoppers.  i know you're jealous, I just hope it doesn't ruin our friendship",1,0,0,0,1
1606,keith just told me he thinks we should go to ireland,1,0,0,0,1
1607,"i require 4 farmville gifts that are not one of the following trees//animals: peach, bananananana, date, passion fruit, pomegranate, lime, lemon, avocado, pig, duck, sheep, goat, or horse.  you shall be rewarded in the afterlife :)",1,0,0,0,1
1608,rock band and ddr.  yessss,1,0,0,0,1
1609,wants to play beatles rock band or wii resort but can't because keith is watching footloose,1,0,0,0,1
1610,did i piss off a gypsy?  because there's a fly in my room that won't leave me alone.  better make sure i have an anvil tied up in the garage and a sharpened ice skate handy :),1,0,0,0,1
1611,"excuse me mother nature, why the hell is it snowing",1,0,0,0,1
1612,almost done hearing about baseball.  yessss,1,0,0,0,1
1613,"um, across the universe was even better the 2nd time.  would probably be even betterer if one was high i would imagine",1,0,0,0,1
1614,i need to write an even stupider screenplay than i did for the first round.  this will be fun,1,0,0,0,1
1615,where the wild things are should have been called where the sucky ass movie is,1,0,0,0,1
1616,"N”n o chithaeglir, lasto beth daer; Rimmo n”n Bruinen dan in Ulaer.",1,0,0,0,1
1617,"that noise you  heard at approximately 11:21 est was keith puking.  it might have sounded like a black hole opening, or a monster being stabbed to death, or any number of things, but it was just keith.  the more you know *star wipe",1,0,0,0,1
1618,very close to not having to hear about baseball again for 6 months.  can't wait,1,0,0,0,1
1619,expansion.  and chicken coops.  send me chickens :),1,0,0,0,1
1620,my ankle hurts.  stupid dishwasher door,1,0,0,0,1
1621,pac 10 football . . . what the hell are you guys doing this season?,1,0,0,0,1
1622,I heart rockband.  and the beatles.  and my bandmates,1,0,0,0,1
1623,"can someone explain to me how keith, who played football, well, ""played,"" who acts like the world's biggest sports fan, and just told me he used to go to legend's on sundays to watch football, didn't know what fair catch was",1,0,0,0,1
1624,Louisiana justice of the peace who refused to marry an interracial couple: I'm not a racist . . . I have piles and piles of black friends. Sure you do.,1,0,0,0,1
1625,well dish n' dat happy hour was a bad idea :),1,0,0,0,1
1626,anyone else click accept gift today and facebook told you you ignored it?,1,0,0,0,1
1627,so happy i'm not clopening this weekend,1,0,0,0,1
1628,happy all hallows' eve kids :),1,0,0,0,1
1629,well squats were certainly a good idea right before bed  . . . stupid stairs,1,0,0,0,1
1630,got more film developed.  and there are a lot of you in it.  be very afraid,1,0,0,0,1
1631,i'm strange.  and i like it.  that's just the way i am.,1,0,0,0,1
1632,happy turkeying errbody,1,0,0,0,1
1633,alright . . . thought i was working at noon . . . working at 2.  holla,1,0,0,0,1
1634,*PROPNAME*,1,0,0,0,1
1635,"well, it's 1:00.  i've had drinks.  and need to be at work far too soon.  in other words, great night.  happy birthday thom :)",1,0,0,0,1
1636,"i hate to say anything that might offend my facebook peeps, but paranormal activity sucks beyond the telling of it.  i cannot remember ever being this disappointed in a movie",1,0,0,0,1
1637,"anyone wanna pay me to hang out, play video games, maybe write a screenplay, and be sarcastic?  cause that would be awesome :)",1,0,0,0,1
1638,I kind of have the best coworkers you could have,1,0,0,0,1
1639,dear kiss 95.7 and kc 101.  could you possibly get off lady gaga's jock for 2 seconds and play a different song?  thank you,1,0,0,0,1
1640,"i just realized, due to not being able to sleep, that i never settled the debate i started a few weeks ago.  regarding cavemen vs. astronauts, ""cave men win.  of course the cave men win."" if you don't agree, take it up with fred",1,0,0,0,1
1641,the volleyball championship was on tv this weekend.  i want to play volleyball :(,1,0,0,0,1
1642,i'm going to one up toni: there aren't words for how good Avatar is.  suck on that kenny :),1,0,0,0,1
1643,home again.  with lots of laundry and little food.  hurray,1,0,0,0,1
1644,can't sleep . . . work will be fun tomorrow :),1,0,0,0,1
1645,now that i've been released from the clutches of retail it's time for some friends and family.  merry xmas eve peeps,1,0,0,0,1
1646,"still waiting on ps3 and//or an iMac, but i haven't exchanged gifts with steve yet, so i'm holding out hope that it will happen :)",1,0,0,0,1
1647,watching the forgotten . . . i already know i'm going to be pissed off at the end,1,0,0,0,1
1648,why the hell am i still awake,1,0,0,0,1
1649,a good night's sleep will hopefully make me excited to close tomorrow :)  cause right now i don't want to,1,0,0,0,1
1650,"if your 2009 was good, i wish you an even better 2010.  if it could have been better, i wish you a great 2010.  i do not, however, wish any of you a happy new decade, since the decade ends at the end of next year",1,0,0,0,1
1651,"am i supposed to be surprised that manny and ortiz were on the 2003 steroids list?  the much more surprising, and much shorter list, would be people playing in the past 10 years who weren't on the list",1,0,0,0,1
1652,"dear santa, here is a list of gifts I hope to see under the tree tomorrow: -ps3 -27"" iMac (i didn't put it on my list, but you should have known) -mini cooper -screenwriting job thank you.",1,0,0,0,1
1653,i don't know that i can express how much i love my coworkers :)  one of my best birthdays ever.  i even did a shot :),1,0,0,0,1
1654,a) louisville got jobbed tonight -- those refs were an embarrassment b) avatar was even better the second time :),1,0,0,0,1
1655,Have you met them face to face?  I hear them.  It's good enough for the blind.,1,0,0,0,1
1656,"update.  after i feel down the stairs last night, i stood up and proceeded to faint at which point keith came out and started slapping me asking if i was ok.  and in my head, i was responding just fine, but was apparently just mumbling to him.  if i wasn't in pain i would laugh :)  also, good to know that he's there for me when i need him",1,0,0,0,1
1657,jacked up my neck somehow.  this should be a good night's sleep,1,0,0,0,1
1658,"said it before, will say it again, i work with some of the best people on the planet",1,0,0,0,1
1659,"um, keith is trying to argue with me about tennis. a) he doesn't get tennis b) he doesn't get arguing",1,0,0,0,1
1660,"Dish n' Dat in Canton for my bday celebration.  And moderate drinking, by me at least.  I will not be pulling a *PROPNAME*",1,0,0,0,1
1661,jacked up my neck again.  and my finger.  and my hand.  and my shoulder.  and elbow.  and knee.  and my calf.  i'm kind of awesome,1,0,0,0,1
1662,"we are the world should not, under any circumstances, have auto-tune.  or a rap solo.  or vince vaughn.",1,0,0,0,1
1663,isn't nyquil supposed to knock your ass out?,1,0,0,0,1
1664,has finished cleaning the kitchen! That's the second one this week!,1,0,1,1,0
1665,FINISHED!! :D,1,0,1,1,0
1666,has 1 essay left to write! and one to read through and amend where necessary! Then it is all gedonen!,1,0,1,1,0
1667,really can't be bothered with his last essay...,1,0,1,1,0
1668,thinks the Indians might be taking the humble food fight a little too seriously... http:////news.bbc.co.uk//1//hi//world//south_asia//8119591.stm,1,0,1,1,0
1669,"is excited about going to Sark! as, whilst he hasn't worked out exactly how long he has to wait, he knows he will be going soon!",1,0,1,1,0
1670,has just been stung by a bee and is in great discomfort,1,0,1,1,0
1671,"""twist it, shake it, shake it, shake it, shake it, baby..""",1,0,1,1,0
1672,IS WORKING AWAY LIKE A WORKER ANT (PROVERBS 30:24-25) AND HAS THE CAPS LOCK ON!,1,0,1,1,0
1673,is regretting eating so much chocolate as he is feeling a tad ill...,1,0,1,1,0
1674,is missing *PROPNAME*,1,0,1,1,0
1675,used every piece of loo roll from one roll (obviously not in one sitting) for the first time ever!,1,0,1,1,0
1676,has finished,1,0,1,1,0
1677,just went on a 4 mile run and even though he walked a very little bit of it he is very pleased with himself!,1,0,1,1,0
1678,Whoops... bought myself everything I needed for a cooked breakfast tomorrow morning but accidently ate it for lunch... :s,1,0,1,1,0
1679,had a cooked breakfast this morning! mmm!,1,0,1,1,0
1680,is making soup!,1,0,1,1,0
1681,is alive!,1,0,1,1,0
1682,knows that a burning smell isn't the best sign of good cooking and is thus going to turn the heat down,1,0,1,1,0
1683,is happy because he saw a lot of friends from Stafford on Saturday night and made a big bonfire!,1,0,1,1,0
1684,thinks it is very cold to go out in shorts and t-shirt but is going running anyway!,1,0,1,1,0
1685,"The Soup: The Verdict Type: Vegetable Appearance: Fantastic Texture: Good Taste: Poor Overall: Edible but not pleasant Summary: This is a great soup for looking at, it is full of colour, healthy vegetables and creaminess! If you are not hungry make this soup and you will feel good! However, if eating is your thing, this soup should be avoided. I have soup left for 3 meals - any takers? Only p&p to pay! Enjoy!",1,0,1,1,0
1686,found that you can tell roughly where you are on the canal by the accents of the people who say hello!,1,0,1,1,0
1687,has just attended his first parish council meeting!,1,0,1,1,0
1688,regrets that he might have to dispose of his pumpkin (*PROPNAME*) as he is becoming a little furry and wonders if giving him a quick shave might do the job,1,0,1,1,0
1689,is now a graduate,1,0,1,1,0
1690,has a huge pile of washing!,1,0,1,1,0
1691,Why doesn't social interview ask me any questions... I feel very left out. :(,1,0,1,1,0
1692,hasn't been outside yet today but is now going to post a letter to one lucky recipient!,1,0,1,1,0
1693,Is it just me or does anyone else feel in the mood for an ABBA sing along session?,1,0,1,1,0
1694,is missing Katie,1,0,1,1,0
1695,realised at around 5 last night that he had nothing to offer to trick-or-treaters so he made toffee... but then nobody came.,1,0,1,1,0
1696,is soon to become a member of the con club!! Whoop!,1,0,1,1,0
1697,no longer has a huge pile of washing,1,0,1,1,0
1698,doesn't know where anyone is!,1,0,1,1,0
1699,"What a busy morning! We had a plumber, the cleaner a dog walker and the gardener all around all at same time!",1,0,1,1,0
1700,is wondering how much tiffin cake he needs to eat to get one of his five a day fruit portions,1,0,1,1,0
1701,thinks 3D glasses make the world a little bit more fun!,1,0,1,1,0
1702,Last night I went to a conference where the police were asking us to pray for them. Lets pray for the police and our communities. God moves when his people pray.,1,0,1,1,0
1703,apologises if he appears to be shouting or talking very loudly to people at the moment. He's getting used to talking to someone who is hard of hearing but keeps forgetting to talk normally to other people.,1,0,1,1,0
1704,wants to know if anyone has borrowed an elf costume off him,1,0,1,1,0
1705,is talking to *PROPNAME* :D,1,0,1,1,0
1706,is off to practice being a shepherd,1,0,1,1,0
1707,has been put on hold but is enjoying (dancing to) the music! :D,1,0,1,1,0
1708,is moving yet more wood!,1,0,1,1,0
1709,Yaaaaaaaaaaaaaaaaaaaaay Snooooooooooooooow!,1,0,1,1,0
1710,may have just slipped over on the ice but thinks he got away with it by making it look like he was break dancing...,1,0,1,1,0
1711,is heading home for Christmas!,1,0,1,1,0
1712,may have eaten a few too many sweets today...,1,0,1,1,0
